FR_ID,component,spec_ref_DERIVED,element,kind,width_bits,DERIVED_legal,PINNED_clause_ref(TODO),PINNED_legal(TODO),STATUS(DERIVED|PINNED|CHANGED),reachable_now,traces_to_checker,traces_to_cover/isoneg,notes
FR-ECPRI_TRANSPORT-01,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,version,const,4,const=1,,,DERIVED,yes,CHK-ECPRI_TRANSPORT-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-ECPRI_TRANSPORT-02,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,rsvd,const,3,const=0,,,DERIVED,yes,CHK-ECPRI_TRANSPORT-02 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-ECPRI_TRANSPORT-03,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,concat,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-ECPRI_TRANSPORT-03 / first_violation:RANGE_concat,cover:concat / isoneg:RANGE_concat,width-contingent deadness
FR-ECPRI_TRANSPORT-04,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,msg_type,range,8,range[0:7],,,DERIVED,yes,CHK-ECPRI_TRANSPORT-04 / first_violation:RANGE_msg_type,cover:msg_type / isoneg:RANGE_msg_type,
FR-ECPRI_TRANSPORT-05,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,payload_size,range,16,range[8:1024],,,DERIVED,yes,CHK-ECPRI_TRANSPORT-05 / first_violation:RANGE_payload_size,cover:payload_size / isoneg:RANGE_payload_size,
FR-ECPRI_TRANSPORT-06,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,pc_id,range,16,range[0:65535],,,DERIVED,no(TRUE_DEAD),CHK-ECPRI_TRANSPORT-06 / first_violation:RANGE_pc_id,cover:pc_id / isoneg:RANGE_pc_id,width-contingent deadness
FR-ECPRI_TRANSPORT-07,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,seq_id,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-ECPRI_TRANSPORT-07 / first_violation:RANGE_seq_id,cover:seq_id / isoneg:RANGE_seq_id,width-contingent deadness
FR-ECPRI_TRANSPORT-08,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,e_bit,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-ECPRI_TRANSPORT-08 / first_violation:RANGE_e_bit,cover:e_bit / isoneg:RANGE_e_bit,width-contingent deadness
FR-ECPRI_TRANSPORT-09,ecpri_transport,eCPRI v2.0 §3.1 common header + §3.2 Type-0 IQ,sub_seq,range,7,range[0:127],,,DERIVED,no(TRUE_DEAD),CHK-ECPRI_TRANSPORT-09 / first_violation:RANGE_sub_seq,cover:sub_seq / isoneg:RANGE_sub_seq,width-contingent deadness
FR-CPRI_ETH-01,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),version,const,4,const=1,,,DERIVED,yes,CHK-CPRI_ETH-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-CPRI_ETH-02,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),bw_profile,enum,4,"enum{0,1,2,3,4,5}",,,DERIVED,yes,CHK-CPRI_ETH-02 / first_violation:ENUM_bw_profile,cover:bw_profile / isoneg:ENUM_bw_profile,
FR-CPRI_ETH-03,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),direction,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-CPRI_ETH-03 / first_violation:RANGE_direction,cover:direction / isoneg:RANGE_direction,width-contingent deadness
FR-CPRI_ETH-04,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),iq_rate_id,range,4,range[0:15],,,DERIVED,no(TRUE_DEAD),CHK-CPRI_ETH-04 / first_violation:RANGE_iq_rate_id,cover:iq_rate_id / isoneg:RANGE_iq_rate_id,width-contingent deadness
FR-CPRI_ETH-05,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),synce_ql,enum,4,"enum{0,2,4,11,15}",,,DERIVED,yes,CHK-CPRI_ETH-05 / first_violation:ENUM_synce_ql,cover:synce_ql / isoneg:ENUM_synce_ql,
FR-CPRI_ETH-06,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),frame_id,range,10,range[0:1023],,,DERIVED,no(TRUE_DEAD),CHK-CPRI_ETH-06 / first_violation:RANGE_frame_id,cover:frame_id / isoneg:RANGE_frame_id,width-contingent deadness
FR-CPRI_ETH-07,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),subframe,range,4,range[0:9],,,DERIVED,yes,CHK-CPRI_ETH-07 / first_violation:RANGE_subframe,cover:subframe / isoneg:RANGE_subframe,
FR-CPRI_ETH-08,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),cm_flag,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-CPRI_ETH-08 / first_violation:RANGE_cm_flag,cover:cm_flag / isoneg:RANGE_cm_flag,width-contingent deadness
FR-CPRI_ETH-09,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-CPRI_ETH-09 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-CPRI_ETH-10,cpri_eth,CPRI-over-Ethernet 4G (IEEE1914.3 RoE + eCPRI transport),rsvd,const,24,const=0,,,DERIVED,yes,CHK-CPRI_ETH-10 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-UPLANE-01,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,version,const,4,const=1,,,DERIVED,yes,CHK-UPLANE-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-UPLANE-02,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,section_type,enum,4,"enum{1,3,5,6}",,,DERIVED,yes,CHK-UPLANE-02 / first_violation:ENUM_section_type,cover:section_type / isoneg:ENUM_section_type,
FR-UPLANE-03,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,numerology,range,4,range[0:4],,,DERIVED,yes,CHK-UPLANE-03 / first_violation:RANGE_numerology,cover:numerology / isoneg:RANGE_numerology,
FR-UPLANE-04,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,start_prb,range,9,range[0:273],,,DERIVED,yes,CHK-UPLANE-04 / first_violation:RANGE_start_prb,cover:start_prb / isoneg:RANGE_start_prb,
FR-UPLANE-05,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,num_prb,range,9,range[1:275],,,DERIVED,yes,CHK-UPLANE-05 / first_violation:RANGE_num_prb,cover:num_prb / isoneg:RANGE_num_prb,
FR-UPLANE-06,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,symbol_id,range,4,range[0:13],,,DERIVED,yes,CHK-UPLANE-06 / first_violation:RANGE_symbol_id,cover:symbol_id / isoneg:RANGE_symbol_id,
FR-UPLANE-07,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,comp_type,enum,2,"enum{0,1,2,3}",,,DERIVED,no(TRUE_DEAD),CHK-UPLANE-07 / first_violation:ENUM_comp_type,cover:comp_type / isoneg:ENUM_comp_type,width-contingent deadness
FR-UPLANE-08,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,comp_bits,range,5,range[9:16],,,DERIVED,yes,CHK-UPLANE-08 / first_violation:RANGE_comp_bits,cover:comp_bits / isoneg:RANGE_comp_bits,
FR-UPLANE-09,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-UPLANE-09 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-UPLANE-10,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,rsvd,const,15,const=0,,,DERIVED,yes,CHK-UPLANE-10 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-UPLANE-11,uplane,O-RAN.WG4.CUS §7 U-plane Section Types 1/3/5/6,start_prb + num_prb <= 275,cross,-,start_prb + num_prb <= 275,,,DERIVED,yes,CHK-UPLANE-cross1 / first_violation:CROSS_0,cover:cross / isoneg:CROSS,
FR-CPLANE-01,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",version,const,4,const=1,,,DERIVED,yes,CHK-CPLANE-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-CPLANE-02,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",section_type,range,4,range[0:8],,,DERIVED,yes,CHK-CPLANE-02 / first_violation:RANGE_section_type,cover:section_type / isoneg:RANGE_section_type,
FR-CPLANE-03,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",section_ext,range,4,range[1:11],,,DERIVED,yes,CHK-CPLANE-03 / first_violation:RANGE_section_ext,cover:section_ext / isoneg:RANGE_section_ext,
FR-CPLANE-04,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",start_symbol,range,4,range[0:13],,,DERIVED,yes,CHK-CPLANE-04 / first_violation:RANGE_start_symbol,cover:start_symbol / isoneg:RANGE_start_symbol,
FR-CPLANE-05,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",num_symbol,range,4,range[1:14],,,DERIVED,yes,CHK-CPLANE-05 / first_violation:RANGE_num_symbol,cover:num_symbol / isoneg:RANGE_num_symbol,
FR-CPLANE-06,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",num_sections,enum,4,"enum{1,2,4,8}",,,DERIVED,yes,CHK-CPLANE-06 / first_violation:ENUM_num_sections,cover:num_sections / isoneg:ENUM_num_sections,
FR-CPLANE-07,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",beam_id,range,16,range[0:65535],,,DERIVED,no(TRUE_DEAD),CHK-CPLANE-07 / first_violation:RANGE_beam_id,cover:beam_id / isoneg:RANGE_beam_id,width-contingent deadness
FR-CPLANE-08,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",numerology,range,4,range[0:4],,,DERIVED,yes,CHK-CPLANE-08 / first_violation:RANGE_numerology,cover:numerology / isoneg:RANGE_numerology,
FR-CPLANE-09,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-CPLANE-09 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-CPLANE-10,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",rsvd,const,12,const=0,,,DERIVED,yes,CHK-CPLANE-10 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-CPLANE-11,cplane,"O-RAN.WG4.CUS §5 C-plane Section Types 0-8, Ext 1-11",start_symbol + num_symbol <= 14,cross,-,start_symbol + num_symbol <= 14,,,DERIVED,yes,CHK-CPLANE-cross1 / first_violation:CROSS_0,cover:cross / isoneg:CROSS,
FR-SPLANE-01,splane,O-RAN.WG4.CUS §9 S-plane IEEE1588v2 PTP + SyncE,version,const,4,const=1,,,DERIVED,yes,CHK-SPLANE-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
